net,length_um
clknet_1_1__leaf_clk,110.18µm
net28,100.02µm
net29,97.86µm
clknet_1_0__leaf_clk,92.2µm
net30,86.52µm
_042_,42.73µm
clk,37.93µm
_044_,30.13µm
_031_,25.84µm
u_cs.lo_block.fa0.b,22.16µm
_029_,22.12µm
clknet_0_clk,18.94µm
sum_c\[6\],18.74µm
net4,18.68µm
net12,17.46µm
_038_,16.76µm
sum_c\[7\],16.44µm
_043_,16.34µm
cout_c,16.28µm
_034_,16.2µm
_058_,16.12µm
b[4],15.38µm
_028_,14.96µm
_050_,14.38µm
u_cs.lo_block.fa2.b,13.64µm
_060_,12.8µm
_039_,12.76µm
_035_,12.48µm
a[3],12.37µm
u_cs.hi_block_c0.fa3.a,12.34µm
sum[0],12.16µm
u_cs.hi_block_c0.fa3.b,11.74µm
sum[5],11.68µm
_064_,11.61µm
_054_,11.54µm
b[1],11.46µm
u_cs.lo_block.fa1.b,11.42µm
_051_,11.34µm
b[0],11µm
_059_,10.96µm
sum_c\[2\],10.86µm
sum[2],10.77µm
a[7],10.65µm
_046_,10.64µm
a[4],10.56µm
net34,10.36µm
cout,10.32µm
net35,10.32µm
a[1],10.08µm
_047_,9.96µm
cin,9.95µm
net22,9.9µm
_048_,9.835µm
sum[1],9.61µm
_027_,9.52µm
sum_c\[4\],9.48µm
u_cs.lo_block.fa1.a,9.28µm
_026_,8.94µm
_036_,8.88µm
_030_,8.86µm
u_cs.hi_block_c0.fa1.a,8.7µm
b[2],8.63µm
u_cs.lo_block.fa3.b,8.56µm
reset,8.53µm
net11,8.48µm
_040_,8.44µm
u_cs.hi_block_c0.fa0.a,8.2µm
_018_,8.06µm
a[0],7.93µm
_033_,7.92µm
_032_,7.7µm
net9,7.68µm
net13,7.68µm
u_cs.lo_block.fa2.a,7.42µm
_037_,7.4µm
sum[3],7.37µm
_049_,7.08µm
_067_,7µm
_015_,6.99µm
net2,6.84µm
_052_,6.66µm
a[6],6.65µm
_055_,6.3µm
u_cs.hi_block_c0.fa2.a,6.18µm
u_cs.hi_block_c0.fa0.b,6.06µm
_063_,6.05µm
a[2],5.97µm
b[5],5.97µm
u_cs.lo_block.fa3.a,5.9µm
b[7],5.87µm
_057_,5.84µm
_056_,5.68µm
sum[6],5.53µm
sum[7],5.53µm
u_cs.lo_block.fa0.a,5.5µm
u_cs.hi_block_c0.fa1.b,5.4µm
sum_c\[3\],5.38µm
b[6],5.29µm
sum[4],5.19µm
_007_,5.1µm
_013_,5.1µm
sum_c\[0\],5µm
a[5],4.95µm
_002_,4.93µm
cin_r,4.92µm
net19,4.76µm
net17,4.54µm
net24,4.42µm
net27,4.42µm
net20,4.34µm
net8,4.08µm
sum_c\[1\],4µm
b[3],3.93µm
u_cs.hi_block_c0.fa2.b,3.9µm
net23,3.88µm
net33,3.88µm
net14,3.66µm
_005_,3.3µm
_010_,3.23µm
_020_,3.18µm
_061_,3.08µm
_003_,2.96µm
_041_,2.96µm
_004_,2.84µm
_019_,2.84µm
net16,2.84µm
net31,2.735µm
_022_,2.69µm
net5,2.64µm
net6,2.64µm
_001_,2.62µm
_065_,2.62µm
net10,2.62µm
_009_,2.38µm
_025_,2.38µm
net32,2.3µm
_008_,2.23µm
_016_,2.23µm
_021_,2.23µm
_024_,2.23µm
_011_,2.21µm
_066_,2.18µm
_023_,2.04µm
_000_,1.82µm
_014_,1.82µm
_017_,1.82µm
net3,1.82µm
net7,1.82µm
net15,1.82µm
_006_,1.75µm
_012_,1.7µm
_062_,1.7µm
net1,1.7µm
net21,1.7µm
net26,1.7µm
net18,1.6µm
_053_,1.48µm
sum_c\[5\],1.36µm
net25,1.26µm
_045_,0.46µm
