Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_97,VGND,li1,51.9800,59.8400,0.000005
FILLER_17_85,VGND,li1,47.3800,59.8400,0.000005
FILLER_17_82,VGND,li1,43.7000,59.8400,0.000005
FILLER_17_70,VGND,li1,40.4800,59.8400,0.000005
FILLER_17_55,VGND,li1,31.0500,59.8400,0.000004
FILLER_17_49,VGND,li1,28.7500,59.8400,0.000004
FILLER_17_44,VGND,li1,25.9900,59.8400,0.000004
FILLER_17_36,VGND,li1,23.9200,59.8400,0.000003
FILLER_17_29,VGND,li1,19.3200,59.8400,0.000003
FILLER_17_27,VGND,li1,18.1700,59.8400,0.000003
FILLER_17_23,VGND,li1,16.3300,59.8400,0.000003
FILLER_17_15,VGND,li1,14.2600,59.8400,0.000003
FILLER_17_3,VGND,li1,9.6600,59.8400,0.000003
FILLER_16_100,VGND,li1,51.7500,54.4000,0.000036
FILLER_16_85,VGND,li1,47.3800,54.4000,0.000035
FILLER_16_82,VGND,li1,43.7000,54.4000,0.000033
FILLER_16_59,VGND,li1,33.3500,54.4000,0.000027
FILLER_16_37,VGND,li1,23.0000,54.4000,0.000019
FILLER_16_7,VGND,li1,8.9700,54.4000,0.000023
FILLER_16_3,VGND,li1,7.8200,54.4000,0.000023
FILLER_15_54,VGND,li1,30.8200,54.4000,0.000023
FILLER_15_49,VGND,li1,28.5200,54.4000,0.000021
FILLER_15_15,VGND,li1,13.3400,54.4000,0.000023
FILLER_15_9,VGND,li1,10.3500,54.4000,0.000023
FILLER_14_104,VGND,li1,53.5900,48.9600,0.000012
FILLER_14_96,VGND,li1,50.1400,48.9600,0.000011
FILLER_14_65,VGND,li1,36.8000,48.9600,0.000009
FILLER_14_61,VGND,li1,33.8100,48.9600,0.000008
FILLER_14_53,VGND,li1,31.7400,48.9600,0.000007
FILLER_14_41,VGND,li1,27.1400,48.9600,0.000006
FILLER_13_103,VGND,li1,53.3600,48.9600,0.000012
FILLER_13_93,VGND,li1,48.5300,48.9600,0.000011
FILLER_13_89,VGND,li1,47.3800,48.9600,0.000011
FILLER_13_77,VGND,li1,43.7000,48.9600,0.000010
FILLER_13_73,VGND,li1,39.3300,48.9600,0.000010
FILLER_13_69,VGND,li1,38.1800,48.9600,0.000009
FILLER_13_57,VGND,li1,34.5000,48.9600,0.000008
FILLER_13_55,VGND,li1,31.0500,48.9600,0.000007
FILLER_13_47,VGND,li1,28.9800,48.9600,0.000007
FILLER_13_35,VGND,li1,24.3800,48.9600,0.000006
FILLER_13_23,VGND,li1,18.8600,48.9600,0.000007
FILLER_12_82,VGND,li1,43.7000,43.5200,0.000011
FILLER_12_73,VGND,li1,39.5600,43.5200,0.000009
FILLER_12_65,VGND,li1,37.2600,43.5200,0.000009
FILLER_12_53,VGND,li1,32.6600,43.5200,0.000007
FILLER_12_41,VGND,li1,27.1400,43.5200,0.000005
FILLER_12_29,VGND,li1,21.6200,43.5200,0.000005
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000005
FILLER_12_15,VGND,li1,15.1800,43.5200,0.000005
FILLER_12_11,VGND,li1,10.8100,43.5200,0.000005
FILLER_12_3,VGND,li1,8.7400,43.5200,0.000005
FILLER_11_100,VGND,li1,51.9800,43.5200,0.000012
FILLER_11_93,VGND,li1,48.5300,43.5200,0.000012
FILLER_11_87,VGND,li1,46.9200,43.5200,0.000012
FILLER_11_77,VGND,li1,41.1700,43.5200,0.000010
FILLER_11_69,VGND,li1,39.1000,43.5200,0.000009
FILLER_11_57,VGND,li1,34.5000,43.5200,0.000008
FILLER_11_50,VGND,li1,29.9000,43.5200,0.000006
FILLER_11_38,VGND,li1,25.7600,43.5200,0.000004
FILLER_11_29,VGND,li1,19.0900,43.5200,0.000005
FILLER_11_21,VGND,li1,17.0200,43.5200,0.000005
FILLER_11_9,VGND,li1,12.4200,43.5200,0.000005
FILLER_10_90,VGND,li1,47.8400,38.0800,0.000039
FILLER_10_61,VGND,li1,34.2700,38.0800,0.000033
FILLER_10_49,VGND,li1,30.8200,38.0800,0.000030
FILLER_10_37,VGND,li1,25.3000,38.0800,0.000027
FILLER_10_26,VGND,li1,17.9400,38.0800,0.000034
FILLER_9_81,VGND,li1,43.0100,38.0800,0.000037
FILLER_9_65,VGND,li1,35.8800,38.0800,0.000034
FILLER_9_57,VGND,li1,33.5800,38.0800,0.000033
FILLER_9_54,VGND,li1,30.8200,38.0800,0.000030
FILLER_9_26,VGND,li1,17.7100,38.0800,0.000034
FILLER_8_42,VGND,li1,25.5300,32.6400,0.000028
FILLER_8_26,VGND,li1,17.9400,32.6400,0.000026
FILLER_8_18,VGND,li1,15.6400,32.6400,0.000026
FILLER_8_6,VGND,li1,11.0400,32.6400,0.000028
FILLER_7_84,VGND,li1,44.3900,32.6400,0.000050
FILLER_7_80,VGND,li1,42.5500,32.6400,0.000049
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000037
FILLER_7_29,VGND,li1,19.0900,32.6400,0.000026
FILLER_7_23,VGND,li1,17.4800,32.6400,0.000026
FILLER_6_81,VGND,li1,43.4700,27.2000,0.000024
FILLER_6_66,VGND,li1,36.3400,27.2000,0.000020
FILLER_6_54,VGND,li1,33.1200,27.2000,0.000017
FILLER_6_37,VGND,li1,22.7700,27.2000,0.000011
FILLER_6_23,VGND,li1,16.5600,27.2000,0.000013
FILLER_5_89,VGND,li1,46.9200,27.2000,0.000026
FILLER_5_73,VGND,li1,39.3300,27.2000,0.000021
FILLER_5_69,VGND,li1,38.1800,27.2000,0.000021
FILLER_5_57,VGND,li1,34.5000,27.2000,0.000017
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000016
FILLER_5_51,VGND,li1,29.9000,27.2000,0.000014
FILLER_5_40,VGND,li1,24.1500,27.2000,0.000011
FILLER_5_32,VGND,li1,22.0800,27.2000,0.000011
FILLER_5_20,VGND,li1,17.4800,27.2000,0.000013
FILLER_5_6,VGND,li1,10.1200,27.2000,0.000015
FILLER_4_52,VGND,li1,32.2000,21.7600,0.000014
FILLER_4_41,VGND,li1,25.7600,21.7600,0.000009
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000011
FILLER_4_26,VGND,li1,17.9400,21.7600,0.000011
FILLER_4_18,VGND,li1,15.6400,21.7600,0.000012
FILLER_4_6,VGND,li1,11.0400,21.7600,0.000012
FILLER_3_100,VGND,li1,51.9800,21.7600,0.000020
FILLER_3_91,VGND,li1,48.7600,21.7600,0.000020
FILLER_3_79,VGND,li1,44.6200,21.7600,0.000019
FILLER_3_68,VGND,li1,38.6400,21.7600,0.000017
FILLER_3_57,VGND,li1,33.1200,21.7600,0.000014
FILLER_3_40,VGND,li1,24.8400,21.7600,0.000010
FILLER_3_30,VGND,li1,20.2400,21.7600,0.000011
FILLER_3_3,VGND,li1,7.8200,21.7600,0.000013
FILLER_2_97,VGND,li1,51.0600,16.3200,0.000025
FILLER_2_85,VGND,li1,47.3800,16.3200,0.000024
FILLER_2_78,VGND,li1,42.7800,16.3200,0.000023
FILLER_2_70,VGND,li1,37.9500,16.3200,0.000021
FILLER_2_41,VGND,li1,24.6100,16.3200,0.000012
FILLER_2_37,VGND,li1,22.7700,16.3200,0.000013
FILLER_2_29,VGND,li1,20.7000,16.3200,0.000013
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000014
FILLER_2_6,VGND,li1,8.5100,16.3200,0.000015
FILLER_1_104,VGND,li1,53.5900,16.3200,0.000025
FILLER_1_100,VGND,li1,52.4400,16.3200,0.000025
FILLER_1_91,VGND,li1,48.7600,16.3200,0.000024
FILLER_1_86,VGND,li1,45.3100,16.3200,0.000024
FILLER_1_65,VGND,li1,35.6500,16.3200,0.000019
FILLER_1_57,VGND,li1,33.5800,16.3200,0.000018
FILLER_1_21,VGND,li1,17.9400,16.3200,0.000014
FILLER_1_15,VGND,li1,13.1100,16.3200,0.000015
FILLER_1_3,VGND,li1,9.6600,16.3200,0.000015
FILLER_0_80,VGND,li1,43.2400,10.8800,0.000011
FILLER_0_69,VGND,li1,39.1000,10.8800,0.000010
FILLER_0_57,VGND,li1,34.5000,10.8800,0.000009
FILLER_0_52,VGND,li1,30.3600,10.8800,0.000007
FILLER_0_23,VGND,li1,16.5600,10.8800,0.000006
FILLER_0_15,VGND,li1,14.2600,10.8800,0.000006
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000006
hold5,VGND,li1,21.1600,43.5200,0.000005
hold4,VGND,li1,20.7000,38.0800,0.000033
hold3,VGND,li1,20.7000,54.4000,0.000021
hold2,VGND,li1,44.6200,27.2000,0.000024
hold1,VGND,li1,42.7800,54.4000,0.000033
clkbuf_1_1__f_clk,VGND,li1,47.8400,38.0800,0.000039
clkbuf_1_0__f_clk,VGND,li1,22.5400,38.0800,0.000032
clkbuf_0_clk,VGND,li1,34.9600,32.6400,0.000046
fanout30,VGND,li1,51.5200,48.9600,0.000012
fanout29,VGND,li1,51.9800,48.9600,0.000012
fanout28,VGND,li1,33.1200,59.8400,0.000005
output27,VGND,li1,52.9000,38.0800,0.000041
output26,VGND,li1,52.9000,27.2000,0.000028
output25,VGND,li1,46.4600,16.3200,0.000024
