net,length_um
clknet_1_0__leaf_clk,121.32µm
net30,113.66µm
net32,99.3µm
net33,96.96µm
clknet_1_1__leaf_clk,92.02µm
net29,90.705µm
net31,70.4µm
clk,46.11µm
clknet_0_clk,36.06µm
_070_,34.76µm
net18,33.02µm
u_rip.gen_fa\[7\].fa.b,28.7µm
_028_,24.68µm
u_rip.gen_fa\[4\].fa.b,24.06µm
_005_,23.645µm
_054_,22.56µm
u_rip.gen_fa\[1\].fa.b,22.54µm
u_rip.gen_fa\[2\].fa.b,21.96µm
u_rip.gen_fa\[3\].fa.b,20.92µm
u_rip.gen_fa\[5\].fa.b,19.56µm
a[4],18.59µm
u_rip.gen_fa\[6\].fa.b,18.54µm
_056_,17.64µm
_052_,17.5µm
_065_,17.42µm
_053_,17.22µm
u_rip.gen_fa\[1\].fa.a,17.035µm
b[7],16.74µm
u_rip.fa0.b,16.08µm
_059_,16µm
net2,14.86µm
_067_,14.64µm
a[7],14.44µm
_032_,14.12µm
u_rip.gen_fa\[6\].fa.a,14.12µm
_048_,13.72µm
u_rip.gen_fa\[2\].fa.a,13.06µm
u_rip.gen_fa\[5\].fa.a,13.04µm
_066_,12.92µm
_074_,12.83µm
u_rip.fa0.a,12.66µm
b[1],12.4µm
_033_,12.32µm
sum[4],12.11µm
_063_,12.06µm
net4,12µm
b[2],11.97µm
_068_,11.68µm
_030_,11.54µm
_026_,11.46µm
_049_,11.18µm
cout,11µm
sum[6],11µm
sum[7],11µm
_023_,10.995µm
u_rip.gen_fa\[4\].fa.a,10.97µm
_061_,10.78µm
_062_,10.6µm
a[2],10.56µm
net16,10.32µm
_002_,10.3µm
b[3],10.07µm
u_rip.gen_fa\[3\].fa.a,10.04µm
_060_,9.96µm
sum[5],9.83µm
b[0],9.64µm
net17,9.3µm
_025_,9µm
sum[0],8.96µm
_077_,8.9µm
_057_,8.78µm
cin_r,8.76µm
a[1],8.72µm
_029_,8.66µm
_076_,8.56µm
u_rip.gen_fa\[7\].fa.a,8.545µm
sum[1],8.5µm
_075_,8.44µm
net26,8.06µm
a[3],8.05µm
reset,8.01µm
_058_,7.98µm
net3,7.98µm
sum[3],7.93µm
net1,7.88µm
a[5],7.67µm
_072_,7.66µm
net25,7.14µm
_027_,6.9µm
_035_,6.88µm
_038_,6.84µm
net14,6.44µm
_034_,6.42µm
_045_,6.42µm
b[5],6.33µm
net6,6.3µm
net7,6.3µm
_010_,5.805µm
_069_,5.66µm
a[6],5.63µm
net15,5.62µm
_055_,5.52µm
b[4],5.51µm
_006_,5.34µm
net5,5.34µm
enable,5.17µm
_071_,5.14µm
sum[2],5.07µm
_047_,5.06µm
b[6],4.95µm
_004_,4.92µm
_050_,4.9µm
net35,4.845µm
net28,4.76µm
a[0],4.61µm
cin,4.61µm
_043_,4.6µm
_021_,4.425µm
net40,4.1µm
_031_,4.08µm
_051_,4µm
_015_,3.925µm
net21,3.88µm
net24,3.88µm
_044_,3.76µm
net37,3.705µm
_009_,3.465µm
_011_,3.465µm
_016_,3.465µm
_008_,3.345µm
_007_,3.32µm
_012_,3.32µm
_019_,3.32µm
_073_,3.22µm
_046_,3.2µm
net11,3.08µm
net34,3.08µm
net27,2.96µm
net36,2.96µm
_000_,2.88µm
_018_,2.785µm
_042_,2.76µm
_024_,2.715µm
net39,2.715µm
_017_,2.545µm
_022_,2.545µm
_001_,2.52µm
net22,2.5µm
net13,2.4µm
_039_,2.3µm
net8,2.16µm
_020_,2.125µm
_078_,2.06µm
net20,2.04µm
net23,2.04µm
_003_,2.025µm
_013_,1.865µm
_014_,1.865µm
net9,1.84µm
net10,1.84µm
_064_,1.48µm
net12,1.48µm
net41,1.405µm
net19,1.36µm
_036_,0.92µm
_037_,0.92µm
_040_,0.92µm
_041_,0.92µm
net38,0.92µm
net42,0.46µm
