Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_107,VGND,li1,54.9700,59.8400,0.000006
FILLER_17_103,VGND,li1,53.8200,59.8400,0.000006
FILLER_17_91,VGND,li1,50.1400,59.8400,0.000006
FILLER_17_85,VGND,li1,45.0800,59.8400,0.000005
FILLER_17_67,VGND,li1,36.8000,59.8400,0.000005
FILLER_17_54,VGND,li1,30.8200,59.8400,0.000004
FILLER_17_43,VGND,li1,25.7600,59.8400,0.000003
FILLER_17_29,VGND,li1,19.3200,59.8400,0.000003
FILLER_17_27,VGND,li1,18.1700,59.8400,0.000003
FILLER_17_15,VGND,li1,15.1800,59.8400,0.000003
FILLER_17_3,VGND,li1,9.6600,59.8400,0.000003
FILLER_16_105,VGND,li1,54.5100,54.4000,0.000032
FILLER_16_93,VGND,li1,51.0600,54.4000,0.000032
FILLER_16_54,VGND,li1,30.8200,54.4000,0.000024
FILLER_16_18,VGND,li1,14.2600,54.4000,0.000024
FILLER_16_6,VGND,li1,11.0400,54.4000,0.000025
FILLER_15_100,VGND,li1,51.7500,54.4000,0.000032
FILLER_15_88,VGND,li1,48.7600,54.4000,0.000032
FILLER_15_34,VGND,li1,21.3900,54.4000,0.000021
FILLER_15_23,VGND,li1,16.3300,54.4000,0.000023
FILLER_14_103,VGND,li1,53.3600,48.9600,0.000049
FILLER_14_85,VGND,li1,45.0800,48.9600,0.000048
FILLER_14_83,VGND,li1,43.9300,48.9600,0.000048
FILLER_14_79,VGND,li1,42.7800,48.9600,0.000048
FILLER_14_41,VGND,li1,25.3000,48.9600,0.000024
FILLER_14_27,VGND,li1,18.1700,48.9600,0.000025
FILLER_14_19,VGND,li1,16.1000,48.9600,0.000025
FILLER_14_3,VGND,li1,7.1300,48.9600,0.000025
FILLER_13_106,VGND,li1,54.7400,48.9600,0.000049
FILLER_13_81,VGND,li1,43.2400,48.9600,0.000048
FILLER_13_73,VGND,li1,40.9400,48.9600,0.000047
FILLER_13_54,VGND,li1,30.8200,48.9600,0.000037
FILLER_13_46,VGND,li1,28.5200,48.9600,0.000030
FILLER_13_34,VGND,li1,23.9200,48.9600,0.000024
FILLER_13_26,VGND,li1,18.1700,48.9600,0.000025
FILLER_13_18,VGND,li1,15.6400,48.9600,0.000025
FILLER_13_6,VGND,li1,11.0400,48.9600,0.000025
FILLER_12_85,VGND,li1,44.8500,43.5200,0.000013
FILLER_12_68,VGND,li1,39.5600,43.5200,0.000012
FILLER_12_55,VGND,li1,32.6600,43.5200,0.000009
FILLER_12_43,VGND,li1,28.0600,43.5200,0.000008
FILLER_12_27,VGND,li1,18.1700,43.5200,0.000009
FILLER_12_23,VGND,li1,17.0200,43.5200,0.000009
FILLER_11_106,VGND,li1,54.7400,43.5200,0.000015
FILLER_11_91,VGND,li1,47.8400,43.5200,0.000015
FILLER_11_65,VGND,li1,35.6500,43.5200,0.000011
FILLER_11_57,VGND,li1,33.5800,43.5200,0.000010
FILLER_11_55,VGND,li1,31.0500,43.5200,0.000009
FILLER_11_47,VGND,li1,28.9800,43.5200,0.000008
FILLER_11_35,VGND,li1,24.3800,43.5200,0.000007
FILLER_11_31,VGND,li1,20.0100,43.5200,0.000008
FILLER_11_19,VGND,li1,17.0200,43.5200,0.000009
FILLER_11_3,VGND,li1,7.1300,43.5200,0.000011
FILLER_10_91,VGND,li1,47.6100,38.0800,0.000046
FILLER_10_74,VGND,li1,40.0200,38.0800,0.000043
FILLER_10_62,VGND,li1,35.4200,38.0800,0.000041
FILLER_10_50,VGND,li1,31.2800,38.0800,0.000031
FILLER_10_36,VGND,li1,22.5400,38.0800,0.000022
FILLER_10_27,VGND,li1,18.1700,38.0800,0.000024
FILLER_10_23,VGND,li1,17.0200,38.0800,0.000024
FILLER_10_6,VGND,li1,8.5100,38.0800,0.000025
FILLER_9_99,VGND,li1,51.2900,38.0800,0.000048
FILLER_9_77,VGND,li1,42.3200,38.0800,0.000044
FILLER_9_50,VGND,li1,29.9000,38.0800,0.000031
FILLER_9_38,VGND,li1,25.7600,38.0800,0.000022
FILLER_9_31,VGND,li1,20.7000,38.0800,0.000023
FILLER_9_19,VGND,li1,17.0200,38.0800,0.000024
FILLER_9_3,VGND,li1,7.1300,38.0800,0.000025
FILLER_8_81,VGND,li1,43.4700,32.6400,0.000025
FILLER_8_77,VGND,li1,41.1700,32.6400,0.000024
FILLER_8_69,VGND,li1,39.1000,32.6400,0.000022
FILLER_8_57,VGND,li1,34.5000,32.6400,0.000019
FILLER_8_45,VGND,li1,28.9800,32.6400,0.000015
FILLER_8_17,VGND,li1,13.8000,32.6400,0.000013
FILLER_8_9,VGND,li1,11.5000,32.6400,0.000013
FILLER_7_103,VGND,li1,53.1300,32.6400,0.000029
FILLER_7_61,VGND,li1,33.8100,32.6400,0.000019
FILLER_7_57,VGND,li1,32.6600,32.6400,0.000016
FILLER_7_50,VGND,li1,29.9000,32.6400,0.000015
FILLER_7_38,VGND,li1,25.7600,32.6400,0.000011
FILLER_7_26,VGND,li1,20.2400,32.6400,0.000012
FILLER_7_12,VGND,li1,12.8800,32.6400,0.000013
FILLER_6_106,VGND,li1,54.7400,27.2000,0.000008
FILLER_6_95,VGND,li1,49.6800,27.2000,0.000007
FILLER_6_85,VGND,li1,44.8500,27.2000,0.000007
FILLER_6_80,VGND,li1,43.2400,27.2000,0.000007
FILLER_6_69,VGND,li1,38.1800,27.2000,0.000006
FILLER_6_61,VGND,li1,34.0400,27.2000,0.000006
FILLER_6_53,VGND,li1,31.7400,27.2000,0.000005
FILLER_6_41,VGND,li1,27.1400,27.2000,0.000005
FILLER_6_29,VGND,li1,21.6200,27.2000,0.000006
FILLER_6_22,VGND,li1,17.0200,27.2000,0.000007
FILLER_5_90,VGND,li1,48.7600,27.2000,0.000007
FILLER_5_81,VGND,li1,43.7000,27.2000,0.000007
FILLER_5_69,VGND,li1,40.0200,27.2000,0.000006
FILLER_5_57,VGND,li1,34.5000,27.2000,0.000006
FILLER_5_55,VGND,li1,31.0500,27.2000,0.000005
FILLER_5_51,VGND,li1,29.9000,27.2000,0.000005
FILLER_5_39,VGND,li1,26.2200,27.2000,0.000004
FILLER_5_27,VGND,li1,20.7000,27.2000,0.000006
FILLER_4_85,VGND,li1,44.8500,21.7600,0.000052
FILLER_4_75,VGND,li1,40.2500,21.7600,0.000051
FILLER_4_71,VGND,li1,39.1000,21.7600,0.000051
FILLER_4_41,VGND,li1,25.3000,21.7600,0.000028
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000029
FILLER_4_27,VGND,li1,18.1700,21.7600,0.000030
FILLER_4_3,VGND,li1,7.5900,21.7600,0.000031
FILLER_3_107,VGND,li1,54.9700,21.7600,0.000054
FILLER_3_52,VGND,li1,30.3600,21.7600,0.000040
FILLER_3_41,VGND,li1,25.7600,21.7600,0.000028
FILLER_3_27,VGND,li1,19.7800,21.7600,0.000030
FILLER_3_15,VGND,li1,13.1100,21.7600,0.000031
FILLER_3_3,VGND,li1,9.6600,21.7600,0.000031
FILLER_2_106,VGND,li1,54.7400,16.3200,0.000033
FILLER_2_82,VGND,li1,43.7000,16.3200,0.000031
FILLER_2_50,VGND,li1,29.4400,16.3200,0.000020
FILLER_2_15,VGND,li1,12.6500,16.3200,0.000022
FILLER_2_3,VGND,li1,9.6600,16.3200,0.000022
FILLER_1_106,VGND,li1,54.7400,16.3200,0.000033
FILLER_1_90,VGND,li1,47.1500,16.3200,0.000031
FILLER_1_57,VGND,li1,31.9700,16.3200,0.000022
FILLER_1_52,VGND,li1,30.3600,16.3200,0.000022
FILLER_1_42,VGND,li1,25.5300,16.3200,0.000017
FILLER_1_25,VGND,li1,17.2500,16.3200,0.000021
FILLER_1_3,VGND,li1,7.3600,16.3200,0.000022
FILLER_0_103,VGND,li1,53.3600,10.8800,0.000004
FILLER_0_91,VGND,li1,50.1400,10.8800,0.000004
FILLER_0_85,VGND,li1,45.0800,10.8800,0.000004
FILLER_0_83,VGND,li1,43.9300,10.8800,0.000004
FILLER_0_75,VGND,li1,41.8600,10.8800,0.000004
