net,length_um
net62,145.2µm
net61,142.835µm
net60,119.82µm
clknet_2_0__leaf_clk,102.16µm
net55,96.56µm
clknet_2_1__leaf_clk,93.9µm
clknet_2_2__leaf_clk,89.62µm
net59,89.14µm
clknet_2_3__leaf_clk,85.74µm
net57,84.015µm
net54,82.2µm
net56,77.08µm
net58,73.98µm
clk,57.29µm
clknet_0_clk,47.94µm
_103_,31.72µm
u_rev.rfa_bits\[0\].fa_ga,31.48µm
u_rev.rfa_bits\[2\].fa_ga,30.14µm
u_rev.rfa_bits\[4\].fa_ga,29.74µm
_096_,28.12µm
_076_,27.62µm
_094_,26.88µm
u_rev.rfa_bits\[0\].rfa.b,26.32µm
_044_,26.065µm
_082_,25.24µm
net11,24.96µm
u_rev.rfa_bits\[7\].fa_ga,24.4µm
_054_,24.12µm
_079_,23.52µm
u_rev.rfa_bits\[5\].fa_ga,23.38µm
_002_,23.32µm
u_rev.rfa_bits\[1\].fa_ga,23.3µm
_105_,22.84µm
cin_r,21.62µm
_061_,21.42µm
_084_,20.88µm
u_rev.rfa_bits\[6\].fa_ga,20.62µm
u_rev.rfa_bits\[7\].rfa.b,19.8µm
_055_,19.66µm
u_rev.rfa_bits\[4\].rfa.anc_in,18.7µm
_110_,18.44µm
_093_,18.13µm
_071_,17.4µm
_064_,17.2µm
_113_,17.16µm
net10,16.76µm
u_rev.rfa_bits\[0\].rfa.anc_in,16.4µm
_068_,15.94µm
net14,15.92µm
_069_,15.9µm
_104_,15.72µm
u_rev.rfa_bits\[6\].rfa.b,15.56µm
_075_,15.38µm
net12,15.34µm
_111_,15.24µm
net19,15.04µm
u_rev.rfa_bits\[3\].fa_ga,14.96µm
net26,14.4µm
_059_,14.38µm
u_rev.rfa_bits\[3\].rfa.b,14.38µm
_050_,14.2µm
_124_,14µm
_088_,13.94µm
_067_,13.46µm
net48,13.2µm
b[6],12.96µm
_115_,12.56µm
u_rev.rfa_bits\[4\].rfa.b,12.46µm
_118_,12.38µm
u_rev.rfa_bits\[1\].rfa.b,12.34µm
net6,12.16µm
_087_,12.1µm
_058_,11.98µm
a[0],11.94µm
anc[1],11.89µm
_092_,11.88µm
u_rev.rfa_bits\[1\].rfa.anc_in,11.74µm
net31,11.7µm
_000_,11.675µm
_095_,11.4µm
_060_,11.28µm
u_rev.rfa_bits\[2\].rfa.anc_in,11.2µm
net9,11.16µm
_108_,11.08µm
_073_,10.96µm
b[0],10.78µm
net53,10.72µm
_100_,10.7µm
a[7],10.66µm
anc[7],10.66µm
b[7],10.66µm
_099_,10.54µm
_135_,10.38µm
a[6],10.2µm
net13,10.14µm
u_rev.rfa_bits\[6\].rfa.anc_in,10.04µm
anc[4],9.83µm
g_ab[1],9.83µm
anc[6],9.74µm
_051_,9.7µm
net7,9.68µm
net67,9.66µm
a[3],9.64µm
b[3],9.64µm
g_a[2],9.64µm
g_a[7],9.64µm
g_ab[7],9.64µm
sum[7],9.64µm
_023_,9.605µm
net3,9.6µm
_074_,9.48µm
_029_,9.445µm
_102_,9.4µm
anc[0],9.39µm
_066_,9.34µm
cout,9.18µm
_123_,9.1µm
_091_,9.04µm
g_a[0],8.96µm
g_ab[0],8.96µm
sum[0],8.96µm
sum[2],8.96µm
u_rev.rfa_bits\[5\].rfa.b,8.94µm
_062_,8.76µm
a[4],8.72µm
anc[3],8.72µm
u_rev.rfa_bits\[2\].rfa.b,8.7µm
a[5],8.51µm
g_a[3],8.5µm
sum[3],8.29µm
_063_,8.22µm
_112_,8.02µm
_053_,8µm
net38,7.94µm
b[4],7.93µm
_006_,7.92µm
_131_,7.9µm
_047_,7.88µm
b[5],7.83µm
