Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_24_145,VGND,li1,72.4500,76.1600,0.000017
FILLER_24_141,VGND,li1,71.3000,76.1600,0.000017
FILLER_24_137,VGND,li1,69.2300,76.1600,0.000017
FILLER_24_125,VGND,li1,65.7800,76.1600,0.000017
FILLER_24_113,VGND,li1,60.2600,76.1600,0.000016
FILLER_24_97,VGND,li1,50.8300,76.1600,0.000016
FILLER_24_91,VGND,li1,48.0700,76.1600,0.000016
FILLER_24_85,VGND,li1,45.0800,76.1600,0.000016
FILLER_24_77,VGND,li1,41.6300,76.1600,0.000015
FILLER_24_70,VGND,li1,38.4100,76.1600,0.000014
FILLER_24_65,VGND,li1,35.6500,76.1600,0.000013
FILLER_24_57,VGND,li1,33.5800,76.1600,0.000012
FILLER_24_55,VGND,li1,31.0500,76.1600,0.000010
FILLER_24_49,VGND,li1,28.7500,76.1600,0.000008
FILLER_24_41,VGND,li1,25.3000,76.1600,0.000007
FILLER_24_34,VGND,li1,22.0800,76.1600,0.000007
FILLER_24_29,VGND,li1,19.3200,76.1600,0.000007
FILLER_24_27,VGND,li1,18.1700,76.1600,0.000007
FILLER_24_15,VGND,li1,15.1800,76.1600,0.000007
FILLER_24_3,VGND,li1,9.6600,76.1600,0.000007
FILLER_23_143,VGND,li1,71.9900,76.1600,0.000017
FILLER_23_131,VGND,li1,68.5400,76.1600,0.000017
FILLER_23_113,VGND,li1,58.4200,76.1600,0.000016
FILLER_23_97,VGND,li1,50.3700,76.1600,0.000016
FILLER_23_91,VGND,li1,48.7600,76.1600,0.000016
FILLER_23_79,VGND,li1,44.6200,76.1600,0.000015
FILLER_23_57,VGND,li1,32.2000,76.1600,0.000011
FILLER_23_48,VGND,li1,29.4400,76.1600,0.000010
FILLER_23_15,VGND,li1,13.1100,76.1600,0.000007
FILLER_23_3,VGND,li1,9.6600,76.1600,0.000007
FILLER_22_141,VGND,li1,70.6100,70.7200,0.000073
FILLER_22_85,VGND,li1,44.8500,70.7200,0.000055
FILLER_22_55,VGND,li1,31.7400,70.7200,0.000037
FILLER_22_45,VGND,li1,26.4500,70.7200,0.000027
FILLER_22_11,VGND,li1,10.8100,70.7200,0.000032
FILLER_22_3,VGND,li1,8.7400,70.7200,0.000032
FILLER_21_143,VGND,li1,71.9900,70.7200,0.000073
FILLER_21_125,VGND,li1,63.4800,70.7200,0.000071
FILLER_21_110,VGND,li1,56.5800,70.7200,0.000067
FILLER_21_101,VGND,li1,52.4400,70.7200,0.000064
FILLER_21_85,VGND,li1,44.8500,70.7200,0.000055
FILLER_21_55,VGND,li1,31.0500,70.7200,0.000037
FILLER_21_14,VGND,li1,12.6500,70.7200,0.000032
FILLER_21_6,VGND,li1,10.1200,70.7200,0.000032
FILLER_20_141,VGND,li1,70.6100,65.2800,0.000078
FILLER_20_128,VGND,li1,64.6300,65.2800,0.000077
FILLER_20_124,VGND,li1,63.4800,65.2800,0.000077
FILLER_20_117,VGND,li1,59.5700,65.2800,0.000076
FILLER_20_102,VGND,li1,52.9000,65.2800,0.000073
FILLER_20_85,VGND,li1,44.8500,65.2800,0.000068
FILLER_20_81,VGND,li1,43.4700,65.2800,0.000067
FILLER_20_72,VGND,li1,38.8700,65.2800,0.000064
FILLER_20_29,VGND,li1,19.0900,65.2800,0.000032
FILLER_20_16,VGND,li1,15.6400,65.2800,0.000033
FILLER_20_6,VGND,li1,9.6600,65.2800,0.000033
FILLER_19_143,VGND,li1,71.9900,65.2800,0.000078
FILLER_19_125,VGND,li1,63.4800,65.2800,0.000077
FILLER_19_118,VGND,li1,60.0300,65.2800,0.000076
FILLER_19_105,VGND,li1,54.5100,65.2800,0.000074
FILLER_19_97,VGND,li1,50.8300,65.2800,0.000072
FILLER_19_89,VGND,li1,48.3000,65.2800,0.000071
FILLER_19_77,VGND,li1,43.7000,65.2800,0.000068
FILLER_19_50,VGND,li1,28.7500,65.2800,0.000044
FILLER_19_35,VGND,li1,21.8500,65.2800,0.000031
FILLER_19_27,VGND,li1,19.7800,65.2800,0.000032
FILLER_19_14,VGND,li1,12.6500,65.2800,0.000033
FILLER_18_141,VGND,li1,70.6100,59.8400,0.000114
FILLER_18_134,VGND,li1,68.5400,59.8400,0.000113
FILLER_18_89,VGND,li1,46.6900,59.8400,0.000088
FILLER_18_85,VGND,li1,45.5400,59.8400,0.000088
FILLER_18_82,VGND,li1,43.7000,59.8400,0.000083
FILLER_18_74,VGND,li1,41.4000,59.8400,0.000074
FILLER_18_62,VGND,li1,36.8000,59.8400,0.000067
FILLER_18_47,VGND,li1,28.0600,59.8400,0.000045
FILLER_18_41,VGND,li1,24.6100,59.8400,0.000032
FILLER_18_29,VGND,li1,21.6200,59.8400,0.000032
FILLER_18_3,VGND,li1,7.5900,59.8400,0.000035
FILLER_17_143,VGND,li1,71.9900,59.8400,0.000114
FILLER_17_113,VGND,li1,59.3400,59.8400,0.000110
FILLER_17_111,VGND,li1,56.8100,59.8400,0.000107
FILLER_17_105,VGND,li1,55.2000,59.8400,0.000107
FILLER_17_93,VGND,li1,51.0600,59.8400,0.000101
FILLER_17_81,VGND,li1,45.5400,59.8400,0.000088
FILLER_17_69,VGND,li1,40.0200,59.8400,0.000074
FILLER_17_57,VGND,li1,34.5000,59.8400,0.000062
FILLER_17_53,VGND,li1,30.5900,59.8400,0.000052
FILLER_17_45,VGND,li1,28.0600,59.8400,0.000045
FILLER_17_33,VGND,li1,23.4600,59.8400,0.000032
FILLER_17_21,VGND,li1,17.9400,59.8400,0.000033
